Data,Value
certainly canxexxt expect gods glad that happened well glad circumstancxexxa,0
glad that raised guilt trips sure hell aware that makes have drop anxexxa,1
visiting good thing chucking into campaign video backdrop without context absolutxexxa,0
bglad therexexxs more accessible crisis line resource folks need glad that police monitor ixexxa,1
ixexxm glad live here,0
glad pain makes happy kazuhaless xfxfxxa,0
clear never blue attitude pitch looked like raheem doxexxa,0
balso athletes glad apart your team part what want,0
really cheers good service glad knew what wanted mary,0
glad though,0
love darling glad caught this rare visit twitter though glad news buxexxa,0
glad again,0
shot work forced covid recovered easily well before shot ixexxm nxexxa,0
sunday morning still nowhere sight will show like last wedxexxa,0
glad like tweets actually realise dangerous situation nclearly,0
dont provide compelling empirical evidence that most women were forced labour markets whxexxa,1
byou dont provide compelling empirical evidence that most women were forced labour markets xexxa,1
glad that continuing media coverage says about view middle east compared eastern europe,0
said they chose whether itxexxs coke heroin most these drugs imported from mexicoxexxa,1
visiting good thing chucking into campaign video backdrop without context absoxexxa,0
gonna reach yesterday make sure everything good probably good thing gladxexxa,0
kinda glad also same time glad have gold fish brain,0
friends have xbox that playstation much better they gxexxa,0
thought this joke first realise glad youve discovered this music enjoy,0
hahaha zoomed that slit couldnt tell being hopeful axexxa,0
good morning very happy nngizmoxexxs been night protecting against hedgehogs what nnglad haxexxa,0
fingers crossed does probably glad yours returned,0
oldest todaynnwere glad family even times glad family,0
well thanks that goal never really know youve succeeded glad hear youre liking,0
wont presume upon intentions sure there people whom those choices make perfect senxexxa,0
dont have tell that glad hear that sorryxfxfxx,0
glad know that please dont dissuade great things about books yoxexxa,0
well ixexxm glad biden area,0
ixexxm glad have some testosterone around again,0
donxexxt even have xfxfxxa ixexxve been fucking lonely glad glad shexexxs sick arenxexxt axexxa,0
bshexexxs apologizing absolutely glad theyxexxre still together guess hexexxs,0
that name very misleadingnthen glad havent,0
readnbut glad,0
glad your support,0
rule glad that this made into story glad short storynthe fact that there arexexxa,0
very good characters brawler glad clear this,0
gratitude simple profound feeling being thankful foundation generosity generous when bxexxa,0
ixexxm absolutely glad that they would rather wait while longer play game with fuxexxa,0
pick friend last night cars replaceable youxexxre glad youxexxre okay xfxfxxa,0
glad learn also glad make your acquaintance just learned about your work earlixexxa,0
brule glad that this made into story glad short storynthe fact that there axexxa,0
bshe glad itxexxs okay,0
bthis supposed glad,0
bnot glad bleached obviously glad decided better just whole idea instead trying txexxa,0
bixexxm glad tamra back nnwhat ixexxm glad about fact that gina will there another seasonxexxa,0
itxexxs glads glad,0
glad misfortune another though your enemy,1
bhexexxs glad gave microphone back,0
thought already fail your exams xfxfxaxaxfxfxaxaxfxfxaxanim glad know,1
like know glad tweeted xfxfxxa,0
bgetting donenot glad that voted down there,0
wait meant good glad,0
took some demo trades some studying well them glad that were unwell butxexxa,0
glad help steal cards,0
xfxfxx canxexxt ixexxm glad about that thank xfxfxxc,0
bgratitude simple profound feeling being thankful foundation generosity generous whxexxa,0
bsure glad asked today last weekxexxasure glad told have come this morning,0
byou merely publicized what enemy wanted portray dont know everything that happened didnxexxa,1
accidental glad police investigating,0
chuchke glad exilednnfuckk,0
wpneumonia aprilnnot glad overjoyed that didnxexxa,0
bthe reasons glad back already stacking fast,0
bgratitude simple profound feeling being thankful foundation generosity generous whxexxa,0
gratitude simple profound feeling being thankful foundation generosityngenerosity requires relixexxa,0
bgratitude simple profound feeling being thankful foundation generosityngenerosity requixexxa,0
glad exiled,0
chuchke glad exilednnfuckk,0
glad,0
bgood morning very happy nngizmoxexxs been night protecting against hedgehogs what nngxexxa,0
just love being wide awake amxexxa glad donxexxt have work tomorrow xfxfxx,0
glad,0
hexexxs glad thatxexxs urges them turn from their ways axexxa,0
also says that glad when wicked does notxexxa,1
baright sorry just anyone else find will stranger things super cringe painful watch good dkxexxa,0
have been wondering should watch glad hear your quick take,0
glad that this common however glad that said voted,0
family cleveland years fans liked baker wife admired thexexxa,0
glad dont know anymore cant find myself,0
narrator glad talk media about solutions,0
thanks although donxexxt think ixexxve ever been less excited vote anything least vxexxa,0
gosh dark over whether glad cleared that,0
byouve never said anything like that before mean course youd hurting glad well glad,0
bixexxm glad there werenxexxt romantic relationships bear wonxexxt liennalso glad there wasnxexxt morexexxa,0
xfxfxx hope glad your back,0
garland good qualified judge would have made good justice what mcconnell wasxexxa,0
could read this true intellect glad gary know back,0
indeed glad have course very glad that your reason needing discoveredxexxa,0
bglad slightly more public very glad half them slid below peoples nose,0
bkeep collecting doctors like baseball cards next cardiologist glad meet person isxexxa,0
bglad useless dems scared glad doesnt give real shit about women hexexxd kill fxexxa,1
just stake sorts frank hummed practically expert pushing through pain toxexxa,1
well thatll integrate with xfxfxxxfxfxx nright have happy moodlet moodlet xfxfxx glad theyre addixexxa,0
really glad know what mean thought what doing that caxexxa,0
what total kill shexexxs heart soul together nightxexxa,1
gonna honest lmao totally surprised offer taken house that glad currentlyxexxa,0
ixexxm glad burned glad more people know wonxexxt hurt them,0
thank xexx obviously glad that needed written really important andxexxa,0
ixexxm glad this play potentially shadow field play while itxexxs situaxexxa,0
mean glad everyone because youre pain equally glad just,0
bits like glad pretty glad because could experience many things until this pointnnbut quxexxa,0
bpeople tweeting they life away giving care texting them glad ixexxm dying,0
they aswell have just started game with liverpool played game fairly then itxexxs bxexxa,0
glad,0
thank marc this sound dumb wouldnxexxt want parent thxexxa,1
love when crushes with other people like glad that didnt pick with someone okay,0
absolutely notnnglad donxexxt topnnalso glad club never bxexxa,0
glad born here glad proud,0
youxexxre glad donxexxt wish things that coming from good place kindly xfxfxxcxfxfxfxbd,0
this what should doing glad handing with txexxa,0
really looking cute beautiful that find sometimesbut hear glad feel rxexxa,0
bare glad choose watch whatever film read whichever book like despite fact that soxexxa,0
glad glad that happening least happy going insane,0
glad happened only rightists making this polxexxa,0
trent said himself that glad that still here,0
totally understand this guys didnt want take chance this being fake glad everyxexxa,1
byeah shexexxs horrible person regardless whether campaigned wisconsin glad figured,1
glad these bitches praying downfall xfxfxx,0
bahamian definitely glad paid what wanted sure wanted phoenixxexxa,0
bwell thatll integrate with xfxfxxxfxfxx nright have happy moodlet moodlet xfxfxx glad thxexxa,0
bdecisions have been made will work check back soon therexexxs smrt glad just restockexexxa,0
bhes glad help glad shuck corn enjoys company many doing,0
many people trump family killed with their lies glad that dxexxa,1
really messed with fans tactic make sure blacks stay odds wxexxa,1
ixexxm glad doesnxexxt deserve treatment denies others,0
loved tooim obviously glad shes gone certainly glad that dont havexexxa,0
ixexxm glad hexexxs gone wish circumstances were different matt damn good replacement,0
glad taking segregative nature school district successions glad about everythxexxa,0
glad taking segregative nature school district successions glad about everxexxa,0
guys glad help sorry feel this,0
bixexxm glad that railway unions arenxexxt being taken seriously feel need strike more glad thxexxa,0
thank certainly glad died means shes martyr hero,0
glad didnt tell anyone know trust this just glad about much have lost xfxfxaxacxfxfxaxac sxexxa,0
yeah referral march appointment november xfxfxabxa glad also very glad hear thatxexxxexxa,0
where glad,0
people have very little imagination when comes what might make other people happy they conform sxexxa,0
derp exceedingly glad about this folks almost bucks installed,0
macedonians glad here reject nazifascist values expouxexxa,0
bxexxcit would part glad that still lives became precious nevexexxa,0
well ixexxm glad were back london your loves tour because they need yxexxa,0
were glad macedonia were scared being surrounded many enraged macedonians thaxexxa,1
even glad would have hope single pieces drake customize your,0
turn stab resistantresistant being keywordalso glad have found this,1
same here just sure seen script before glad donxexxt licence that shite,0
ixexxm sorry dave ixexxm notglad youxexxre back xfxfxx,1
because glad could help xfxfxxc,0
balso very very glad retreading same bullshit people capitulated compromised xexxa,1
welcome xexxaxefxbxf glad have what went through happy that yoxexxa,0
glad harckles here fact their need tone down sick oxexxa,1
these things think that donxexxt care that raped they think werenxexxa,1
ixexxm glad arenxexxt though hfvnjdncunvu xfxfxxa,0
those comments made about being work glad relieved failed,0
awesome hoping that case they hometown norfolk tickets evexexxa,0
hopefully glad lower whos left sell this point except mtgox which releasing next month,0
macedonians glad here reject nazifascist values youxexxa,0
glad have lost stop raping macedonia,1
bdoesnt mean glad were involved market,0
glad that here,0
ixexxm glad your stay macedonia people open window from parlement mxexxa,0
knowing your dislike things alex salmond alba think this prevents yoxexxa,1
sometimes takes practical learn lesson that refused enter your brainsnni glad brother hadxexxa,0
wexexxre glad that youxexxre here,0
bwhyxexxs speaking whole xfxfxxxfxfxx glad born here xfxfxxadxfxfxxadxfxfxxadxfxfxxad,0
well glad here today,0
