ID, VALUE
2455,0
9966,0
4898,1
315,1
4921,0
343,1
5518,1
2782,1
8334,1
403,1
8221,1
134,0
9022,1
2749,0
9832,0
3982,1
12091,1
497,1
7188,1
257,1
74,1
1738,1
14080,1
14102,1
4305,0
14545,0
450,1
8903,1
12958,0
1312,0
7334,1
7817,1
5583,0
11185,0
7994,1
4299,0
5102,0
4125,0
10277,1
6884,0
13192,0
9081,1
3032,0
8599,1
9396,1
11388,1
13004,0
8649,1
3406,0
13801,0
4843,0
1708,0
1817,0
5273,0
4278,1
2507,0
6213,0
7004,1
996,0
7354,1
13329,0
9975,0
11521,0
3515,1
8448,1
13821,0
3590,0
12103,1
6134,0
339,1
12900,1
1696,0
2560,0
5004,0
7806,1
11390,1
1046,0
1274,0
1843,0
9558,1
5107,0
7340,1
9772,1
6668,0
10322,1
4004,1
3814,0
321,1
11952,0
519,1
7013,1
3363,0
6817,0
6975,1
12889,0
10415,1
11673,0
2832,0
14590,0
11813,0
